Question,Answer
is else if still considered bad style?: as in if within an else,"<p>I don&#39;t see a reason why wouldn&#39;t you use this </p>
<pre>
if (...){
...
} else if (...) {
...
} else{
...
}</pre>
<p>instead of </p>
<pre>
if (...) {
...
} else {
if (...) {
...
}
}</pre>
<p>I don&#39;t see a reason why wouldn&#39;t you use this </p>
<pre>
if (...){
...
} else if (...) {
...
} else{
...
}
}</pre>
<p>instead of </p>
<pre>
if (...) {
...
} else {
if (...) {
...
}</pre>
<p>I don&#39;t see a reason why wouldn&#39;t you use this </p>
<pre>
if (...){
...
} else if (...) {
...
} else{
...
}</pre>
<p>instead of </p>
<pre>
if (...) {
...
} else {
if (...) {
...
}</pre>
<p>Reiterating the student answer. In <em>almost </em>all circumstances it is MUCH preferable that you use else if{} instead of else{ if }</p>
<p></p>
<p>(I was unable to come up with a compelling example where you would use else{if}, but I am sure I have before, probably in bad style...)</p>"
"Q3 verification: For an 8 digit card, does the luhn algorithm say that the card is valid if the single digit sum of the luhn sum (of the rest 7 digits) is equal to the last digit of the card","Based on the second test case, I believe the 8 (the last digit) is included in the calculation of the luhn sum, and that must be equal to 8. 
Based on the second test case, I believe the 8 (the last digit) is included in the calculation of the luhn sum
<p>The number is composed of two parts, payload and check sum. The one that needs to use the Luhn algorithm is the payload. This means processing starting with the rightmost digit of the payload. And perform operations on the specified numbers according to the algorithm. Finally reduced to a single digit.</p>
<p></p>
<p>     payload      checksum<br /> |------------|   |--|</p>
<p>^                ^</p>
<p>left              right</p>"
"A01 Q2 Assignment Component Mark: <p>I was reading the instructions for Q2 and I got a little confused on how the assignment component mark was calculated. It says &#34;If a student had 5 assignments submitted, earned a total of 500 marks (adding up each score of the 5 assignments), and earned 100% on style, they would have earned exactly 100% for the assignment component, but still fail the course as they did not submit enough assignments.&#34; but I don&#39;t understand how the assignment component is 100% if four assignments weren&#39;t even done?</p>
<p></p>
<p>I was also confused about how 370 assignment marks and 30% style resulted in a 50% assignment component. Any clarification would be appreciated!</p>","<p>I was very confused as well, but I think the logic is that the total number of assignments you submit &#43;1 (as the style component counts as an assignment) is the denominator you divide the total assignment marks&#43;the style marks with.</p>
<p>As for your second question,(370&#43;30)/(7&#43;1) = 50 hence the 50%</p>"
Question 2: Do we round the assignment mark and the exam mark and again round for the overall mark,"nvm got it
<p>To head the discussion below off at the pass:</p>
<p>Per the assignment text &#34;The only provided mathematical function you will be allowed to use is abs&#34;. Don&#39;t try to use round, it will not pass the marmoset tests.</p>
<p></p>
<p>To answer the question as a help for others:</p>
<p>The assignment text says to only round at the end (i.e. only round the overall mark after the calculation is done, only round the exam grade after both weighted grades are added, etc).</p>"
q1a1: can we use abs or implement our own if not,"<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwawgwtpc4rc%2Fa71fd4e817e1c883096ba05dc2776babd8373acfd2698c679cf94be7a744f0bc%2FScreenshot_2024-01-11_at_7.55.48_PM.png"" alt=""Screenshot_2024-01-11_at_7.55.48_PM.pngNaN"" />"
"CS 136 Assignment Component: While doing A1 Q2, a doubt about this course came to mind. 

So the question said that if I did 5 assignments and got 500 marks (100%), and 100% for style, I would get 100% for the assignment component, but still fail the course because I did not reach the minimum number of assignments submitted. 

Can I therefore assume that if I did 6 out of the 9 assignments (bare minimum) with complete scores and style, I will still obtain a 100% for the assignment component, which accounts for 20% weighted on the final calculated grade, without doing the last 3 assignments?

Please correct me if I am wrong. Thank you :)","<p>Yes</p>
<p></p>
<p>Note that all missed assignments need to be excused, like due to illness. See Assignment Rules. Therefore, you cannot submit only the first six assignments and then stop submitting assignments.</p>
Yes"
502 error when running code / trying to submit code to marmoset.: 502 error when running code / trying to submit code to marmoset. ,"<md>Chrome has been acting weird. I switched to safari and it worked :3</md>
<p>I agree that Chrome has been acting weird. The 502 errors are frustrating. As an instructor who had used EdX for a few terms now, this is the first time I am seeing such frequent 502 errors. Switching to a different browser, clearing cache and restarting Chrome has been working.</p>
<p></p>
<p>But I do agree it is frustrating!</p>"
"Integrity Statement Error: I am facing an Integrity Statement not modified error which failed my test on marmoset. However, I have tried to state my name and login ID using both 
student number and prefix of email, but it still ended up with the same error. 
Would appreciate any help. :)","<md>![Screenshot_2024-01-11_at_8.59.33_PM.pngNaN](/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwawgwtpc4rc%2Fdfde95ec5ab450ce0612453beb62b8ecf4107499a3af01c3dc9c96487224a17c%2FScreenshot_2024-01-11_at_8.59.33_PM.png)

You need to change all the three lines:

ERROR_NO_INTEGRITY_STATEMENT, 
Name, and the
login ID</md>

Student 2:
<p style=""font-style:normal"">There are in total four changes to be made</p>
<p style=""font-style:normal"">1. Change</p>
<p style=""font-style:normal"">ERROR_NO_INTEGRITY_STATEMENT with the level of collaboration (use None if you did it by yourself</p>
<ol><li style=""margin:0px;font-style:normal"">&#xfeff;&#xfeff;&#xfeff;Change the name</li><li style=""margin:0px;font-style:normal"">&#xfeff;&#xfeff;&#xfeff;Change the Login ID with the prefix of email</li><li style=""margin:0px;font-style:normal"">&#xfeff;&#xfeff;&#xfeff;Remove &#34;not&#34; from the sentence just below it.</li></ol>
<p style=""font-style:normal"">I guess you might have missed one of those</p>
<md>![Screenshot_2024-01-11_at_8.59.33_PM.pngNaN](/redirect/s3?bucket=uploads&prefix=paste%2Flkqwawgwtpc4rc%2Fdfde95ec5ab450ce0612453beb62b8ecf4107499a3af01c3dc9c96487224a17c%2FScreenshot_2024-01-11_at_8.59.33_PM.png)

You need to change all the three lines:

ERROR_NO_INTEGRITY_STATEMENT, 
Name, and the
login ID</md>
<md>![Screenshot_2024-01-11_at_8.59.33_PM.pngNaN](/redirect/s3?bucket=uploads&prefix=paste%2Flkqwawgwtpc4rc%2Fdfde95ec5ab450ce0612453beb62b8ecf4107499a3af01c3dc9c96487224a17c%2FScreenshot_2024-01-11_at_8.59.33_PM.png)

You need to change all the three lines:

ERROR_NO_INTEGRITY_STATEMENT
Name
login ID</md>"
a1 q1p2: Can the EEA be used to find gcd,"<md>You are free to do anything that doesn't break the assignment rules or go beyond A1 cutoff.</md>
<md>You are free to do anything that doesn't break the assignment rules.</md>"
"A1 Q3 Helper Function: For A1 Q3, are we allowed to define our own helper function?","<md><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwawgwtpc4rc%2F109ff52c1f6e4b0ff279ecb6fc7f1137258917833ac7f168b8f907a751ce46bd%2FScreenshot_2024-01-11_at_10.55.34_PM.png"" alt=""Screenshot_2024-01-11_at_10.55.34_PM.png"" />

Yes I believe so.</md>"
do we need to include assertions for the contract: ,<md>Yes. Please make sure to always assert the requirements.</md>
"passing on marmoset clarification: <p>hello, does passing all of the tests on Marmoset earn full marks for correctness (other than violations, etc.) or only basic tests are performed?</p>
<p></p>
<p>tysm :3</p>","<p>A0 has only public tests, if you passed all on marmoset then you are good, other assignments have secret tests.</p>
<p></p>
<p>[Nomair] Just to add to the instructor response above. Note the comment about &#34;other assignments having secret or private tests&#34;. What this means is that starting A1, if you just rely on public tests, you are not guaranteed to get full marks. We will have private tests the results of which will only be revealed to you after the deadline for the assignment. It is because of this that it is absolutely crucial that you thoroughly test each question and not rely on just the public tests.</p>
<p></p>
<md>A0 has only public tests, if you passed all on marmoset then you are good, other assignments have secret tests.</md>"
"Some questions about style: <p>1)If an else is not required (for example</p>
<p>if (){</p>
<p>... return ..</p>
<p>}</p>
<p>(else)return..</p>
<p>Is it good style to write the else or to remove it?</p>
<p></p>
<p>2)Should we put our assertion tests into main or into another function</p>
<p></p>
<p>3) As per what the slides say, is it in better style to write assertions one by one or put all assertions into one using &amp;&amp;</p>
<p></p>","<p>Edit by Chenxin:</p>
<p>1) If an <strong><em>if</em> </strong>statement contains a <strong><em>return </em></strong>statement, there may be no need for an else block. However, it is a good style to use the <strong><em>else </em></strong>statement. * Based on Slide 53 section 01, there are ways to rewrite the conditional statements. All of them are correct in syntax, but you should choose the way that makes your code cleaner. If something can be re-written into one line of the return statement, why use 5 lines of if statements?</p>
<p>2) You should use assertion for each function to ensure the function works as you expected. *By &#34;expected&#34;, this actually means that you filtered all invalid input (yes we might test them for assignments to make sure you assert them and pay attention to requirements. We will not test them only in the situation when the questions mention not testing invalid inputs.</p>
<p>3) Yes, it would be considered a better style to write assertions one by one but combining assertions is acceptable. *As slide 88 in section 01 suggested, it is much easier to check which assertion failed if you write assert statements one by one. Please do so to avoid potential deduction for style marks. There is no red line for combining assertions but it might result in deduction for some specific cases. If you want to be safe about it, then you should consider asserting each requirement one by one.</p>
<p>Edit by Chenxin:</p>
<p>1) If an <strong><em>if</em> </strong>statement contains a <strong><em>return </em></strong>statement, there may be no need for an else block. However, it is a good style to use the <strong><em>else </em></strong>statement. * Based on Slide 53 section 01, there are ways to rewrite the conditional statements. All of them are correct in syntax, but you should choose the way that makes your code cleaner. If something can be re-written into one line of the return statement, why use 5 lines of if statements?</p>
<p>2) You should use assertion for each function to ensure the function works as you expected. *By &#34;expected&#34;, this actually means that you filtered all invalid input (yes we might test them for later assignments to make sure you assert them and pay attention to requirements. We will not test them only in the situation when the questions mention not testing invalid inputs.</p>
<p>3) Yes, it would be considered a better style to write assertions one by one but combining assertions is acceptable. *As slide 88 in section 01 suggested, it is much easier to check which assertion failed if you write assert statements one by one. Please do so to avoid potential deduction for style marks. There is no red line for combining assertions but it might result in deduction for some specific cases. If you want to be safe about it, then you should consider asserting each requirement one by one.</p>
<p>1) If an <strong><em>if</em> </strong>statement contains a <strong><em>return </em></strong>statement, there may be no need for an else block. However it is a good style to use <strong><em>else </em></strong>statement.</p>
<p>2) You should use assertion for each function to make sure the function work as you expected</p>
<p>3) Yes, it would be consider as  better style to write assertions one by one but combine assertions is acceptable</p>"
is the latest submission considered by marmoset: ,We are using your best submission.
a1q1 running for me but it says did not compile on marmoset: Why would that be?,There are error messages on Marmoset that you should be able to tell why it did not compile.
"Edx Login Error: When I tried to login in Edx, it displayed the message that although my microsoft account is linked with the University of Waterloo yet it is not linked with edx and asked me to login using the edx password but I do not have an edx password then what do I do now and how do I login? I have tried all the ways possible but it is not logging me in. Kindly Help","Please include a screenshot below of what you saw. Also, you could try again here <a href=""https://online.cs.uwaterloo.ca/dashboard"" target=""_blank"" rel=""noopener noreferrer"">https://online.cs.uwaterloo.ca/dashboard</a> to see if you can log in."
"Where to find style guide?: <p>Sorry this is probably a really dumb question and the answer is probably somewhere in the pinned piazza posts but I just can&#39;t seem to find it:</p>
<p></p>
<p>Where can I find the style guide?</p>
<p></p>
<p>Thanks</p>","<a href=""https://online.cs.uwaterloo.ca/courses/course-v1:UW&#43;CS136&#43;2024_01/courseware/b6e84e137e114d8eb1d1b237e741e1e3/3a8e269a424d4b8b935770acb336a487/3?activate_block_id=block-v1%3AUW%2BCS136%2B2024_01%2Btype%40vertical%2Bblock%40381d6978360f478cb8965f1f723ee48c"" target=""_blank"" rel=""noopener noreferrer"">Style Guide</a> Here
<a href=""https://online.cs.uwaterloo.ca/courses/course-v1:UW&#43;CS136&#43;2024_01/courseware/b6e84e137e114d8eb1d1b237e741e1e3/3a8e269a424d4b8b935770acb336a487/3?activate_block_id=block-v1%3AUW%2BCS136%2B2024_01%2Btype%40vertical%2Bblock%40381d6978360f478cb8965f1f723ee48c"" target=""_blank"" rel=""noopener noreferrer"">https://online.cs.uwaterloo.ca/courses/course-v1:UW&#43;CS136&#43;2024_01/courseware/b6e84e137e114d8eb1d1b237e741e1e3/3a8e269a424d4b8b935770acb336a487/3?activate_block_id=block-v1%3AUW%2BCS136%2B2024_01%2Btype%40vertical%2Bblock%40381d6978360f478cb8965f1f723ee48c</a> Here"
"A00 Q04: I/O Testing in EdX: <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwd5wc37w5nc%2Fe219ef472c5265d16e6be1225ea0edd42fe3f9487f27b6e21b74d31a5c468d25%2Fimage.png"" alt=""image.png"" />Can someone please explain me this, I didn&#39;t found anything in Assignment Rules.<br /><br />And do we have to this for every code we write?","<p>Ctrl/Command &#43; F “line feed” in assignment rules to find it. And this is asking you to add a new line after the last number.</p>
<p></p>
<p>[Nomair] While the instructor answer tells you where to find this in the assignment rules, let me explain very briefly why this is needed. There are two main reasons:</p>
<p>- In linux a file is considered properly formatted if it ends with a line feed. Windows has no such requirement. Many editors (such as the black boxes you see in EdX do not automatically add a line feed at the end). When the text added in such editors is moved to a file on linux (that is what happens when you press Run Code or Submit to Marmoset, Marmoset can have issues with no line feeds at the end (since it is running on linux).</p>
<p>- Another reason is that a line feed is represented as an actual character in the file. If we ever want to try to compare two files they must match identically. Related to this is also if we try to read a file. We might write code that says &#34;read to the next line feed&#34;. If there is no line feed at the end, some parts of the text file might not actually get read.</p>
<p></p>
<md>Ctrl/Command + F ""line feed"" in assignment rules to find it. And this is asking you to add a new line after the last number.</md>"
a1 q2: are we allowed to use divide? if not can we use the divide function we made in the previous part of the assignment?,"I think you can. The hint above the question states that.
As a general rule, you are always allowed to use functions you write for a question in other questions."
"Doubt regarding submission of assignments?: I have submitted the A01 by clicking on submit to Marmoset icon and have checked that I have passed all the test cases on Marmoset but was wondering if my work was actually submitted or not since unlike cs135 where we used to get an email confirmation about the submission of an assignment, we did not get any confirmation this time. Is this how it is or is it only happening with me, kindly reply!","<md>Yes you check submission using the following link:

https://marmoset.student.cs.uwaterloo.ca/

If you passed all the tests on the marmoset then u are good to go.</md>
<md>Check the following link:

https://marmoset.student.cs.uwaterloo.ca/

If you passed all the tests on the marmoset then u are good to go.</md>
<md>Check the following link:

https://marmoset.student.cs.uwaterloo.ca/</md>
<md>Check the following link:

https://marmoset.student.cs.uwaterloo.ca/?target=%2Fview%2Fcourse.jsp%3FcoursePK%3D34</md>
<md>Check the following link:

https://online.cs.uwaterloo.ca/courses/course-v1:UW+CS136+2024_01/courseware/b6e84e137e114d8eb1d1b237e741e1e3/4666b30aece6420a9a04e1511067ad8d/1?activate_block_id=block-v1%3AUW%2BCS136%2B2024_01%2Btype%40vertical%2Bblock%40c241a773342840d9bc36ffb7bc8c41f1#:~:text=Open-,Marmoset,-Black%20Question</md>
You can go to the marmoset website 
<md>We don't send a submission confirmation email in this course, you can check your submissions on marmoset. Note that passing all the public tests doesn't mean your program is error-free, please add your own tests to fully test your program.</md>"
"A1 - Q2: <p>I&#39;m quite confusing about this example</p>
<p></p>
<p> if a student had 20% in their midterm and 65% in their final, they would have earned exactly 50% for the exam component. If a student had 80% in their midterm and 29% in their final, they would have earned exactly 46% for the exam component.</p>
<p></p>
<p>how can this be 50 % and 46%? </p>","<md>1/3 of the exam component is the midterm and 2/3 is the final since the final weighs twice as much as the midterm.

Then $$\displaystyle 20\times\frac 13+65\times\frac23=50,\ 80\times\frac13+29\times\frac23=46$$</md>"
"Clarification about A1Q2 rounding: <p>Summary of questions:</p>
<p></p>
<p>1. In instruction, it says &#34;Luckily, we round to the closest integer when calculating marks.&#34;</p>
<p>Does this mean when we calculate exam and assignment components to check if they are 50 or higher, we round them, and then to examine the final mark, we round only the last result, right?</p>
<p></p>
<p>2. When rounding to the closest integer, if the digit right after dot (.) is higher or equal to 5, we round up, otherwise, round down right?</p>
<p></p>
<p>Always appreciate your feedback.</p>","<md>1. You only round them when checking the individual components. When calculating the final grade, don't round anything until the last step.

2. Yes. Exactly $$.50$$ should be rounded up.</md>"
"test question: <p>What does &#34;Test simple passed&#34; mean?</p>
<p></p>
<p>What&#39;s the difference between simple and public which are names of test in Marmoset? </p>","<md>They are named differently for whatever reason, but they are both public tests, i.e., the one you see before the deadline.</md>"
will assignments have bonuses for this course?: ,"<p>No.</p>
<p></p>
<p>Update: It is possible but you should operate under the assumption that they won&#39;t.</p>
<md>No.</md>"
"A01 Question2: If I didn&#39;t get it wrong, we should do this question based on all the rules listed on the marking scheme right? like we need to consider assignment and exams respectively and also the overall grade. But I am still confused with &#34;weighted exams&#34; on the following picture. Does it mean our quizzes midterm and final? But what does it mean when it said pass assignment and weighted exam. Earn 50% of the total marks respectively?<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqweq4wfuz1fb%2F093111a84f8fb31d6ff92f631857cbd2a93432cb8a19ef5a7992f968e3abd65f%2Fimage.png"" alt=""image.pngNaN"" />","<p>Yes, read the rules on the marking scheme, it helped me a lot with this question.</p>
<p></p>
<p>From my understanding, there are 3 things you need to pass: </p>
<p>1. Overall course, that is 50% in everything, taking the weighting of each part into account</p>
<p>2. Exam component, which is only midterm and final (not quizzes), which is also weighted, and since midterm is 25% of overall mark and final is 50%, you would weight those against each other</p>
<p>3. Assignment component, where you consider if you passed either with or without including style marks</p>
<p></p>
<p>I think if any of these categories are failed, then the course is failed.</p>
<p>Hopefully this helped, correct me if I am wrong.</p>
<md>Note that for No. 3 in the student's answer, you always consider style marks as one more assignment. And a reminder that you need to consider # of assignments submitted as well.</md>"
Count style for overall grade?: should we count style into our assignment when we calculate the overall grade. I know we need to consider it when dealing with individual component.,"Yes, style counts for the overall grade. Style counts as an assignment, which means that it needs to be factored into the assignment mark, which itself needs to be factored into the overall mark."
helper function: are we allowed to use helper functions for all of the questions?,"Yep, you can. In the instructions it says that the content cut-off for A1 is Section (Session?) 1, and that you must use recursion and helper functions in place of variables and loops. 
As a general rule, you are always allowed to write and use helper functions. Usually, helper functions will end up in better code."
"Question 3: <p>if we have 19 as our sum, should we simplify it into 0? since 1&#43;9 =10 and our last digit of card number is 0</p>
<p></p>",You need to simplify it till you have a valid checksum.
A01: Can I use <strong>if....else</strong> to complete the Question A1?<br /><br />Can anyone please help me out.,<md>You can use conditionals in A1.</md>
A01 q3: Can a card number start with 0?,<md>The `assert` statement in `verify_card` should answer your question.</md>
"A01 Q01: Division of negative numbers?: I know that we are supposed to handle negative numbers as mentioned in @34. Is it exactly the same as integer division using &#34;/&#34;, as in always truncating toward zero? Such as, divide(-5,2) = -2 and divide(-14,5) = -2. ",<md>Correct. Round towards 0.</md>
"A01 Q3 Test Case: <p>In the provided asserts for the sum_luhn function we are given: </p>
<p></p>
<p>assert(sum_luhn(10000001) == 3);</p>
<p></p>
<p>How did we get 3, shouldn&#39;t it be 2 since the leftmost 1 is skipped?</p>","Nevermind, I realized that the first one is 1 x 2 and the last one is just 1.
<md>`sum_luhn` only takes the payload, so it considers all digits.</md>"
"Is testing functions required in this course?: In this course, are we required to use tests to ensure that functions work properly, or is this just a recommendation?",<md>It's strongly recommended.</md>
"A01 Q2: <p>Do we need to consider the following rule as well?</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwcd8tneb75a%2F4f5a96c98a21440961a34b32916f03229569f99e396fbdd1318b18a1e6f0a95b%2FScreenshot_2024-01-14_at_6.16.36_PM.png"" alt=""Screenshot_2024-01-14_at_6.16.36_PM.pngNaN"" width=""975"" height=""59"" /></p>
<p></p>
<p>Nevermind, @89 answers the question...</p>",Resolved.
"Forever Loading Error?: Hi my edX is not showing under the questions. I’ve sat here for maybe 30 minutes, refreshing the page, logging in and out, hard refreshing but nothing seems to work. I’ve switched to different internet connections and I’m still looking at a loading screen for where I can work on the code. Any help would be helpful!<div><br /></div><div><img src=""https://piazza.com/redirect/s3?bucket=uploads&amp;prefix=attach%2Flr5ecl50k5u23j%2Flkqwda7cwkc6ez%2Fkxvrvttrmxwp%2Fpublic_2024_01_14.jpeg"" /><p></p> </div>",<md>Try switching browser.</md>
Is the A1 FAQ posted?: ,<md>Not yet.</md>
