Question,Answer
"Vector Notation: When we are given the vector notation &lt;a,b....&gt;^T. Does T refer to the number of elements in column arranged in rows?","Im pretty sure the T is just for saying that its a vector but you are writing it in that way
<p>When we write</p>
<p></p>
<p>$$\begin{bmatrix} a & b & c \end{bmatrix}^T$$</p>
<p></p>
<p>or</p>
<p></p>
<p>$$\begin{bmatrix} a & b & c \end{bmatrix}^\top$$</p>
<p></p>
<p>we mean the same thing as</p>
<p></p>
<p>$$\begin{bmatrix} a \\ b \\ c \end{bmatrix}$$.</p>
<p></p>
<p>The ^T denotes the transpose of a matrix (imagine drawing a line through the diagonal and flipping all elements across it): e.g.<br /><br />$$\begin{bmatrix} 1 & 2 & a \\ b & c & 4\end{bmatrix} ^ \top = \begin{bmatrix} 1 & b \\ 2 & c \\ a & 4 \end{bmatrix}$$</p>
<p></p>
<p>We tend to write $$\begin{bmatrix} a & b & c \end{bmatrix}^\top$$ as an inline vector so that it doesn&#39;t take up too much vertical space.</p>
<p>When we write</p>
<p></p>
<p>$$\begin{bmatrix} a & b & c \end{bmatrix}^T$$</p>
<p></p>
<p>or</p>
<p></p>
<p>$$\begin{bmatrix} a & b & c \end{bmatrix}^\top$$</p>
<p></p>
<p>we mean the same thing as</p>
<p></p>
<p>$$\begin{bmatrix} a \\ b \\ c \end{bmatrix}$$.</p>
<p></p>
<p>The ^T denotes the transpose of a matrix (imagine drawing a line through the diagonal and flipping all elements across it): e.g.<br /><br />$$\begin{bmatrix} 1 & 2 & a \\ b & c & 4\end{bmatrix} ^ \top = \begin{bmatrix} 1 & b \\ 2 & c \\ a & 4 \end{bmatrix}$$</p>
<p></p>
<p>We tend to write $$\begin{bmatrix} a & b & c \end{bmatrix}^\top$$ as an inline vector so that it doesn&#39;t take up too much vertical space.</p>"
"Unit vector questions: <p>The square of a unit vector will still be the unit vector itself right?</p>
<p></p>",What do you mean by the &#34;square of a unit vector&#34;?
Lost Hat from MC 4059: Hi<div>Has anybody seen a light brown winter hat from MC 4059 (or in general)</div><div>Its a furry light brown hat with two puffballs attached to a string with like bear ears on top</div><div>If so please email me</div><div>dy2kim@uwaterloo.ca </div><div>Thank you</div>,"It has been located, thank you"
"Geometric Interpretation.: Let -»x, -»y ∈ R^n . Prove that ||-»x &#43; -»y ||^2 &#43; ||-»x − -»y ||^2 = 2(||-»x||2 &#43; ||-»y ||2 ). Can you come up with a geometric interpretation of this identity? I&#39;m not understanding what geometric interpretation means?","Hint: think about the diagonals of the parallelogram formed by the two vectors x and y. 
« Geometric interpretation » means to show this proof as a graph or shape or some other visual. <div><br /></div><div>Most likely in $$R^2$$ because it’s the easiest, but not always / doesn’t have to be. Instructor answer gives a hint on what you should look for. <div><br /></div><div>Hope that helps!</div></div>"
"Is section 1.7 covered?: <p>In the course schedule page on learn, it says the coverage for week 1 is 1.1 to 1.9 from the course notes. However, in the practice problems coverage for week 1, it excludes section 1.7 (i.e. 1.1-1.6, 1.8-1.9). Does this mean section 1.7 is not tested/covered? More specifically, is standard inner product a testable topic?</p>
<p></p>","My professor said we would not be covering 1.7 
We will not be covering 1.7."
When will the answer of w1pp be released?: When will the answer of practice problems 1 be released?,Solutions to the practice problems will be posted on the Thursday following the week they cover.  So the solutions to week 1 practice problems will be posted next Thursday. 
"Reference Sheet for Assessments: <p>Hello!</p>
<p></p>
<p>I&#39;m wondering if we will be provided with reference sheets for quizzes and/or exams in this course similar to those in MATH 135?</p>
<p></p>
<p>Thanks!</p>",There are no reference sheets. 
"Vector subtraction: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwatgzzdt48x%2F99d143f23c4e4bf585f4a707c88d0bc196cde211fbcb1924f6991397555d4253%2FScreen_Shot_2024-01-12_at_11.48.51_AM.png"" width=""342"" height=""154"" alt="""" /> </p>
<p></p>
<p>Could someone explain the step on how to do (vector v) - projection of v onto w</p>","You multiply the scalar 2/5 to the vector &lt;7,1&gt; and then subtract it from &lt;4,-8&gt;.<div><br /></div><div><br /></div>"
"Geometric interpretation of the dot product: <p>Could someone show me a geometric representation of the dot product?<br />I learned from lecture that</p>
<p>U dot V = ||U|| ||V|| cos θ </p>
<p>My first thought would be the component of U on V but that is the definition of projection so it is simply not true. The projection is a vector whereas a dot product is a scalar. Since there is a scalar there is no way of representing it geometrically so I guess I just answered my own question here, but I am still not sure what the dot product is besides the two definition that was provided in class.<br />1. U dot V = the sum of the multiples of the components of u and v <br /><br /></p>
<p>2. U dot V = ||U|| ||V|| cos θ <br />I am also not sure how the two formula are related.<br /><br /></p>
<p>Please give me another way I could think about the dot product other than the definitions themselves as well as how the two definitions are related to one another.</p>
<p></p>","It’s basically the product of magnitude of the component of u along v into magnitude of v.<div><br /></div><div>Geometrically you could make two vectors u and v. Get a projection of u over v. The product of magnitude of projection and vector v represents dot product.</div>
<p>The dot product is a function that encodes a bit of information about the magnitudes and directions of the two vectors.</p>
<p></p>
<p>If $$\theta$$ is the angle between $$\vec u$$ and $$\vec v$$, then $$\cos \theta$$ tells you the general direction the two vectors point. If they point in opposite directions, then $$\theta = \pi/2$$ so $$\cos \theta = -1$$ so the dot product will be negative. If they point in the same direction, then $$\theta = 0$$ so that $$\cos \theta = 1$$. You can check for yourself that when the dot product is positive, $$\vec u$$ and $$\vec v$$ point in the general same direction (i.e. $$0 < \theta < \pi/4$$) and if the dot product is negative, then $$\vec u$$ and $$\vec v$$ point in general opposite directions.<br /><br /><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkrvaikp4js87pd%2Fd53ced3493fc00d90fcd706981794adcc0a47bb4d900b1c06922e5351847f979%2Fimage.png"" alt=""image.png"" /></p>
<p></p>
<p>Here is one way to think of the dot product: consider the projection of one of the vectors onto the other (it doesn&#39;t matter $$\vec u$$ onto $$\vec v$$ or $$\vec v$$ onto $$\vec u$$, but here I&#39;ve illustrated $$\vec u$$ onto $$\vec v$$).</p>
<p></p>
<p>By some trigonometry, we can find that the length of the projection is $$\cos \theta \| \vec u\|$$, and the dot product now is the simple (real-valued) product of $$\cos(\theta) \|\vec u\| \cdot \|\vec v\| = \|\vec u \| \|\vec v\| \cos \theta$$.</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkrvaikp4js87pd%2Ff87015937752aa07a432358ea00ab98e2f1bbd5528541ae293e94b4358796682%2Fimage.png"" alt=""image.pngNaN"" /></p>
<p>To see why the two formulae are equivalent, I&#39;ll leave you a hint: the above is a drawing of a triangle with sides $$\vec u$$, $$\vec v$$, and $$\vec v - u$$. Apply the law of cosines and see what happens.</p>"
prof Fernandez office hour: It was mentioned in class that prof Fernandez&#39;s office hour might change from the original 5-7 on Wednesday. I haven&#39;t seen anything on learn as to when the office hours had been changed to. Could this be confirmed. Many thanks.,"Thank you for reminding me about this; I forgot to mention in the morning lecture, but I will in the afternoon lecture. The office hours will be changed to Tuesdays 4:30-6:30. I will reflect this in the first lecture notes and this will be also added to the learn page."
"[w1pp - Q1]: <p>I&#39;m a little confused about my solution, I got that $$\underset{u}{\rightarrow}$$ = $$\underset{0}{\rightarrow}$$ or a = 0 but then wasn&#39;t sure how to calculate the rest.</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqw8rpo1vu6yt%2F4f08900f0be1e7a7199187107ff3ce38a37e02985cfa68ee5165aafcfb3caf5a%2FScreenshot_2024-01-12_at_3.51.48_PM.png"" alt=""Screenshot_2024-01-12_at_3.51.48_PM.pngNaN"" width=""880"" height=""33"" /></p>","You have the correct solution. When you determined that $$a = 0$$ satisfies the equation, it does not depend on the choices of $$\vec u, \vec v$$, so they can take on any value. In situations like these, we call $$\vec u$$ and $$\vec v$$ free variables.<div><br /></div><div>Similarly, in the case when $$\vec u = 0$$, the equation holds independent of the choices of $$a$$ and $$\vec v$$, so they may take on any values.</div>
Vector v belongs to R^5 and<div>If a = 0 then u belongs to R^5 and if u is a zero vector then a belongs to R.</div><div><br /></div><div>I believe this is how you would express all u, v and a.</div>
Vector v belongs to R^5 and<div>If a = 0 then u belongs to R^5 and if u is a zero vector then a belongs to R.</div><div><br /></div><div>I believe this is how you would express the whole all u, v and a.</div>"
"parallelogram area in R2: When given vectors $$\vec{u},\vec{v}$$ In $$\mathbb{R}^2$$ can we calculate area using $$A=||\vec{u}||||\vec{v}||\sin\theta$$ or is this only in  $$\mathbb{R}^3$$? Is using $$A=(||\vec{u}||)(||perp_\vec{u}(\vec{v})||)$$ a correct approach?","I guess it should be $$\mathbb{R}^{3}$$ because if you are defining area (which is a vector quantity defined in the axis perpendicular to both $$ \overrightarrow{u}$$ and $$\overrightarrow{v}$$) then it isn&#39;t possible for it to exist in $$\mathbb{R}^{2}$$ as the only vector which will be orthogonal to $$\overrightarrow{u}, \overrightarrow{v}$$ vector in $$\mathbb{R}^{2}$$ is $$\overrightarrow{0}$$ thus implying area to be 0.<br /><br /><br />
I guess it should be $$\mathbb{R}^{3}$$ because if you are defining area (which is a vector quantity) then it isn&#39;t possible for it to exist in $$\mathbb{R}^{2}$$ as the only vector which will be orthogonal to $$\overrightarrow{u}, \overrightarrow{v}$$ vector in $$\mathbb{R}^{2}$$ is $$\overrightarrow{0}$$ thus implying area to be 0.<br /><br /><br />
<p>Yes, in $$\mathbb{R}^2$$, area is well-defined as long as you have a norm. In $$\mathbb{R}^2$$, you don&#39;t have cross product.</p>
<p></p>
<p>If your $$\theta$$ is the angle between $$\vec{u}$$ and $$\vec{v}$$, then $$\|\vec{u}\| \|\vec{v}\| \sin \theta$$ and $$\|\vec{u}\| \| \mathrm{proj}_{\vec{u}}(\vec{v})\|$$ are the same. I would recommand you prove it before using it.</p>
<p></p>
<p>Hints:</p>
<ul><li>Using basic trig idenity, you can deduce $$\|\vec{v}\|^2\sin(\theta)^2 = \|\vec{v}\|^2 (1-\cos(\theta)^2)= \|\vec{v}\|^2 - \|\vec{v}\cos(\theta)\|^2 = \|\vec{v}\|^2- \|\mathrm{proj}_{\vec{u}}(\vec{v})\|^2$$.</li></ul>
<p></p>
<ul><li>On the other hand, using the techniques learned in class, </li></ul>
<p>              $$\|\mathrm{perp}_{\vec{u}}(\vec{v})\|^2 = (\vec{v} - \mathrm{proj}_{\vec{u}}(\vec{v}))\cdot (\vec{v} - \mathrm{proj}_{\vec{u}}(\vec{v}))$$</p>
<p>               $$=  \|\vec{v}\|^2 {\color{red}- 2(\vec{v}\cdot \mathrm{proj}_{\vec{u}}(\vec{v})) + \|\mathrm{proj}_{\vec{u}}(\vec{v})\|^2} = \|\vec{v}\|^2 {\color{red}-\|\mathrm{proj}_{\vec{u}}(\vec{v})\|^2}$$.</p>
<p>Yes, in $$\mathbb{R}^2$$, area is well-defined as long as you have a norm. In $$\mathbb{R}^2$$, you don&#39;t have cross product.</p>
<p></p>
<p>If your $$\theta$$ is the angle between $$\vec{u}$$ and $$\vec{v}$$, then $$\|\vec{u}\| \|\vec{v}\| \sin \theta$$ and $$\|\vec{u}\| \| \mathrm{proj}_{\vec{u}}(\vec{v})\|$$ are the same. I would recommand you prove it yourself.</p>
<p></p>
<p>Hints:</p>
<ul><li>Using basic trig idenity, you can deduce $$\|\vec{v}\|^2\sin(\theta)^2 = \|\vec{v}\|^2 (1-\cos(\theta)^2)= \|\vec{v}\|^2 - \|\vec{v}\cos(\theta)\|^2 = \|\vec{v}\|^2- \|\mathrm{proj}_{\vec{u}}(\vec{v})\|^2$$.</li></ul>
<p></p>
<ul><li>On the other hand, using the techniques learned in class, </li></ul>
<p>              $$\|\mathrm{perp}_{\vec{u}}(\vec{v})\|^2 = (\vec{v} - \mathrm{proj}_{\vec{u}}(\vec{v}))\cdot (\vec{v} - \mathrm{proj}_{\vec{u}}(\vec{v}))$$</p>
<p>               $$=  \|\vec{v}\|^2 {\color{red}- 2(\vec{v}\cdot \mathrm{proj}_{\vec{u}}(\vec{v})) + \|\mathrm{proj}_{\vec{u}}(\vec{v})\|^2} = \|\vec{v}\|^2 {\color{red}-\|\mathrm{proj}_{\vec{u}}(\vec{v})\|^2}$$.</p>"
"dot product and proj visualization: <p>I&#39;m a little confused about the difference between the visualization of the dot product and the proj of one vector on the other. </p>
<p></p>
<p>Also, I&#39;m slightly confused as to what the scalar value the dot product produces represents. </p>","<p>The geometric interpretation of the dot product of vectors $$\vec{u}$$ and $$\vec{v}$$ is that it calculates the product of the length of the two vectors and the cosine of the angle between them.  $$\vec{u} \cdot \vec{v} = ||\vec{u}|| ||\vec{v}|| \cos \theta$$.</p>
<p></p>
<p>The projection of $$\vec{v}$$ onto $$\vec{u}$$ can be thought of the shadow that $$\vec{v}$$ would make on $$\vec{v}$$ if a light was shone directly above.  We can also think of it the as the component of $$\vec{v}$$ the goes in the direction (or possibly opposite direction) of $$\vec{u}$$. </p>
<p>just to add, if you have a little bit of familiarity with highschool physics, I like to think of the projection of  u  onto  v  as the component of u that is in the direction of v.</p>
<p></p>
<p>hopefully that helps with some intuition :)</p>"
Parallel vectors: Is every vector in R3 parallel with the zero vector?,"<p>Two vectors are parallel if they are scalar multiples.  The zero vector is a scalar multiple of all vectors in $$\mathbb{R}^3$$ and so by convention we can say that the zero vector is parallel to every vectors in $$\mathbb{R}^3$$.  However, the dot product of the zero vector with every vector in $$\mathbb{R}^3$$ is 0 and so we can also say that the zero vector is orthogonal (or perpendicular) with every vector in $$\mathbb{R}^3$$. </p>
<p></p>
<p>Essentially the zero vector can be thought of having no direction or all directions and that&#39;s why we can interpret it as being parallel to all vectors and orthogonal to all vectors. </p>"
cross product in R3: Why does the cross-product only work in R3. Can vectors not be perpendicular in higher dimensions?,"<p>In all dimensions you can find vectors which are orthogonal.  The cross product just gives us a convenient way to find a vector which is orthogonal to two vectors in $$\mathbb{R}^3$$. </p>
<p></p>
<p></p>"
Quiz 1 content: How far does quiz 1 cover? I can&#39;t seem to find it on LEARN,"Quiz 1 covers the contents of Chapter 1 that were covered in class, that is, 1.1-1.6 and 1.8-1.9. Inner Products are not included."
"Möbius Login: <p>Hi,</p>
<p></p>
<p>When I try to log into Möbius, it says &#34;Login unsuccessful.&#34; Is anyone else having this error?</p>
<p></p>
<p>Thanks!</p>",You can&#39;t log into Mobius you need to access it through the links in LEARN. 
"Q2 pratice: How can you guys do the last one?<br /><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwedxqjbh6yr%2Fe8ae96bcffd5184c99baef63171cf09c5cf58eca29fd2a726910fbba71c0a5fa%2Fimage.png"" alt=""image.png"" />","<p>here’s what I have <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwc0mgoaj4v5%2F95e6d4ee4329f8cf84076177e4a19977a74e4b4d4e37f2143350354bf6c491b8%2Fimage.png"" alt=""image.pngNaN"" width=""424"" height=""345"" /><br /><br /></p>
<p>edit: I made a mistake on the last step (misread 4 as 9), it should be $$\vec{u}=(\frac{1}{1+i})\begin{bmatrix}2-3i\\-9+5i\end{bmatrix}$$</p>
<div></div>
<div></div>
<div></div>
<p>here’s what I have <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwc0mgoaj4v5%2F95e6d4ee4329f8cf84076177e4a19977a74e4b4d4e37f2143350354bf6c491b8%2Fimage.png"" alt=""image.pngNaN"" width=""424"" height=""345"" /></p>
<div></div>
<div></div>
<div></div>
here’s what I have <div></div><div></div><div><br /></div>
here’s what I have <div></div>
here’s what I have<div></div>
I didn&#39;t check all the arithmetic of the student answer but the general approach looks good. "
"Q5 from practice: <p>How do you do the backward proof after getting the dot product of vector x and vector y is 0 from knowing they are orthogonal?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwb17ooi55le%2F010170107e76f40d65e336052a707fe70e1d3211950e4fc821d499e146626a75%2Fimage.png"" alt=""image.pngNaN"" /></p>",Hint: Express $$\|\vec{x} + \vec{y}\|^2$$ in terms of dot product and expand the dot product using linearity.
"Question 8 from the practice: <p>Could someone give me a hint to solve this?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwc43j3qa5i2%2Fd0391f0ebf5f277dd536109e89d2181e6deb2780acd04c09cf63ea89d333039f%2Fimage.png"" alt=""image.png"" /></p>",Write $$\vec{u}=\begin{bmatrix}u_1\\ u_2\\ u_3\end{bmatrix}$$ and $$\vec{v}=\begin{bmatrix}v_1 \\v_2\\ v_3\end{bmatrix}$$. Work out $$(\vec{u}+c\vec{v})\times \vec{v}$$ and $$\vec{u}\times \vec{v}$$ explicitly.
